Strategy,Annualised Return,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Turnover (trades/yr),n_tickers_sharpe
Momentum,4.8,-0.138,-0.292,-63.3,0.107,6.6,25.0
Mean Reversion,-0.6,-0.295,-0.479,-66.2,0.008,3.5,25.0
ARIMA,-9.5,-0.849,-0.887,-77.0,-0.101,48.8,25.0
XGBoost,0.4,-0.611,-0.424,-48.3,0.021,9.6,25.0
Equal-Weight Benchmark,8.1,-0.043,-0.226,-66.8,0.12,0.1,
