Ticker,Strategy,Annualised Return,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Turnover (trades/yr)
HUBC,Mean Reversion,14.1,0.163,0.07,-27.6,0.512,3.6
HUBC,ARIMA,-1.1,-0.389,-0.614,-26.6,-0.04,49.7
HUBC,XGBoost,6.0,-0.446,-0.279,-15.3,0.395,7.7
NBP,Momentum,23.3,0.438,0.416,-29.6,0.787,8.2
NBP,Mean Reversion,18.9,0.351,0.439,-26.4,0.716,4.1
NBP,ARIMA,35.3,0.762,0.987,-24.5,1.444,80.4
NBP,XGBoost,2.8,-0.56,-0.413,-15.2,0.186,12.3
SEARL,Momentum,23.1,0.426,0.411,-33.4,0.693,6.7
SEARL,Mean Reversion,1.0,-0.302,-0.478,-36.5,0.029,2.6
SEARL,ARIMA,-26.8,-1.689,-1.633,-55.1,-0.486,91.2
SEARL,XGBoost,-8.2,-3.676,-1.092,-16.3,-0.504,6.1
EFERT,Momentum,37.9,0.939,1.263,-18.8,2.017,6.7
EFERT,Mean Reversion,3.0,-0.735,-0.722,-14.1,0.215,1.5
EFERT,ARIMA,47.8,1.346,1.935,-17.1,2.802,5.6
EFERT,XGBoost,28.2,0.817,1.107,-12.5,2.254,6.1
HBL,Momentum,20.7,0.378,0.453,-25.1,0.825,8.7
HBL,Mean Reversion,35.6,1.151,1.864,-9.1,3.897,5.6
HBL,ARIMA,37.0,0.888,1.456,-19.8,1.865,63.0
HBL,XGBoost,49.8,1.329,2.122,-19.1,2.599,24.1
BAFL,Momentum,31.4,0.658,0.877,-20.2,1.55,7.7
BAFL,Mean Reversion,22.5,0.632,0.834,-10.2,2.213,4.6
BAFL,ARIMA,48.3,0.983,1.777,-21.5,2.246,4.1
BAFL,XGBoost,-2.9,-1.324,-1.167,-11.6,-0.249,4.6
PSO,Momentum,65.5,1.323,2.149,-27.1,2.418,6.7
PSO,Mean Reversion,4.2,-0.203,-0.367,-32.9,0.128,3.6
PSO,ARIMA,20.4,0.379,0.431,-24.1,0.846,70.2
PSO,XGBoost,8.3,-0.105,-0.14,-24.2,0.345,4.6
